date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:11	23385/23385	---MCZ	200	added ('OK')	text/html	etag:W/%2261ef1f9b-5b59%22	https://broank.bss.design/Shortcuts.html	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/Shortcuts.html	(from https://broank.bss.design/)
20:08:14	1496093/1496093	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-16d41d%22	https://broank.bss.design/assets/img/Icons.png?h=32c4d7bcbbae3bb8e67628115970642d	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/Icons3fad.png	(from https://broank.bss.design/)
20:08:14	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Users/dell%207280/Downloads/bna/bna/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://broank.bss.design/)
20:08:14	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d5d-3962%22	https://cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.js	C:/Users/dell%207280/Downloads/bna/bna/cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.js	(from https://broank.bss.design/)
20:08:15	1360307/1360307	---M--	200	added ('OK')	image/png	etag:%2261ef1f9a-14c1b3%22	https://broank.bss.design/assets/img/Shortcuts.png?h=68a7410629f3143d14486fca4d594264	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/img/Shortcutsbe6a.png	(from https://broank.bss.design/)
20:08:15	140164/140164	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ef1f9b-22384%22	https://broank.bss.design/assets/js/script.min.js?h=1365680e891bb375c45964803d5f74c7	C:/Users/dell%207280/Downloads/bna/bna/broank.bss.design/assets/js/script.mincd4e.js	(from https://broank.bss.design/)
20:08:15	100204/100204	---M-Z	200	added ('OK')	application/octet-stream	etag:%225eb04014-1876c%22	https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.eot	C:/Users/dell%207280/Downloads/bna/bna/cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.eot	(from https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.min.css)
20:08:15	100204/100204	---M-Z	200	added ('OK')	application/octet-stream	etag:%225eb04014-1876c%22	https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.eot?	C:/Users/dell%207280/Downloads/bna/bna/cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typiconsd41d.eot	(from https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.min.css)
20:08:15	59872/59872	---M-Z	200	added ('OK')	application/octet-stream	etag:%225eb04014-e9e0%22	https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.woff	C:/Users/dell%207280/Downloads/bna/bna/cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.woff	(from https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.min.css)
20:08:15	99920/99920	---M-Z	200	added ('OK')	application/octet-stream	etag:%225eb04014-18650%22	https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.ttf	C:/Users/dell%207280/Downloads/bna/bna/cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.ttf	(from https://cdnjs.cloudflare.com/ajax/libs/typicons/2.0.9/typicons.min.css)
